rating	title	text	sentiment
1	This whole Series feels so off	I don't know whats going on. I feel scammed by these ratings. It almost feels like somebody pushes the hype around the series just to get some good votes. To me this series was a complete waste of time. Too many plotholes, too poor of an excecution. Generell idea is good, but thats it.	0
1	ZERO OUT OF TEN	Unintelligent Illogical Boring Cringefest clownfiesta of a series.	0
3	Starts great....stop watching after Season 1...you will thank me	"Season 1 was top notch Season 2 kept the intense drama going but started dropping close to end Season 3 We are trailing off, plot devices no longer making sense Season 4 It became obvious that the writers was just writing the craziest stuff possible and throwing it on screen.

Season 5 I stopped after episode 2 because it was all levels of stupidity. I did not care about ANY character and actors became 'cartoonish' where many people are playing over-the-top caricatures. Just sad....really really sad..."	0
8	Good Time Pass.	Yes most of the time the plot doesn't make sense because of over the top analysis of the protagonist. But still it is good Time killer. An overall nice breather and good concept for a show.	1
1	Dumb show	Female inspectors is dumb . Robber keep coming front of her she don't use her brain. . Don't waste your time with this series I'm in season 1 episode 3 I'm already bored.	0
2	Overhyped	Seriously whats the fuss about??? The main characters start showing major flaws as soon as episode 3. Plot holes which make no sense. Silly actually!	0
1	worst and illogical	This show is so much illogical and people are following it blindly from begining to the end i have never seen logic in this series	0
2	Utter Nonsense.	It's rubbish. Period. The problem is that the show takes itself very seriously but ends up becoming a caricature of itself. I have no reservations towards mindless entertainment but the sheer audacity of the writers to pull anything off from their hat under the pretext of a mastermind professor for me, is ridiculous.	0
3	Horrible and even more ridiculous Inside Man	"The show starts with done to death bank heist and makes most ridiculous heist ever.

Inside Man, although full of plot holes, was decent enough movie. This makes Inside Man Oscar material.

There are bunch horrendous turn of events no sane person will believe and then the story which is beyond ridiculous and makes you question hoe come one believe this at all.

This is perfect example how a no logic full garbage show can be made."	0
1	Speachless, this series doesn't deserve the propaganda	The series started with a good story and should have been ended since season 2 thats it, season 4 is the worse, a season with no meaning and no story and just a waste of time.	0
1	Season 4 is a total waste of time	I am very dissapointed of season 4. Nothing happened though all of the Episode except that Raquel Was release in a very unrealsitic way. They found an Helikopter Just like that and got away with it. And the pilot of the helikopet knows 50 foreign languages and how to drive an Helikopter. :D Another rediculous fact is that the pregnant detective is such a Genius that she could find Just in 5 five the Professor. Sorry, I prefer to watch Spiderman. It's more realistic and interesting.	0
1	Free Palestine	A waste of time, the events are predicted and the acting is bad.	0
10	Mindblowing	This must be one of the best series I've seen lately. It is so thrilling and unpredictable in every single episode, that you have no idea how it will end.	1
1	Very bad series	It's keep repeating the old series Nothing new Also the actors support israhell.	0
1	We don't accept your stance regarding Israel	The actors of the series, we did not like their position with Palestine. They support the Israeli occupation, and we Arabs did not like this position and were upset.	0
1	Free palestine	All those standards and principles your series where describing and fighting for do not describe you at all Keep supporting children killers , war criminals , ethic cleansing, zionism , fascism, racism and anything against human rights.	0
1	For Philistines🇵🇸	For Philistines🇵🇸 For Philistines🇵🇸For Philistines🇵🇸	0
1	Brainless direction	Too much hyped not worth it, last season is a complete waste.	0
1	Downhill after season 2	They tried to Milk this show for all it was worth. Yes season 1 & 2 were ok, but that should have been it. Watched season 5 episode 1 out of curiosity and I had no idea what was happening, just went head first with no recapping, a big mistake.	0
1	Unjustifiable immorality !	In real life, the cast of La Casa De Papel have shared their support to crimes against humanity commited by the colonial regime of Israel in Palestine. Israel continues to murder children, demolish houses, torture and imprison millions of native people while breaking more international laws and UN resolutions than any other state in the world.	0
1	Shame on you for supporting Ethnic Cleansing	Your series main idea was to support liberation of people and eventually you support Ethnic Cleansing against innocent Palestinians.	0
4	Had potential, but no	I'm not sure why this show is highly rated. Really disappointing. Had a good concept for a storyline but the it felt like it was directed in the 80s. Superficial dialogue and character relationships. Every opportunity to exploit the female characters is taken. Lots if man-handling and over sexualisation. It's all a bit cheap.	0
1	Enjoyable if you don't care for plot, script or acting	I watched the first season to please my daughter and have never in all my years seen a more ridiculous piece of contrived nonsense masquerading as entertainment. Maybe it's just me because a lot of people seem to be enjoying it so good luck to them!	0
3	From being one of my favorites, to a big disappointment	It all started great, solid performance overall. Really good way to interpert the system and how a clever team led by a genius can hurt all that corruption. But after season 2, things got way too repetitive and exagerated. It became dumb. Alpha male ladies who make compulsive decisions. The same characters doing exactly the same mistakes. You can predict pretty much every move they'll do after season 2. It could have been an amazing tv show, but it ended up as on of the worst ones in my list. HUGE CLICHE.	0
1	Pure rubbish	Plot holes and cliches everywhere, useless and superficial love scenes, stupidest police in TV history and really bad acting. Don't waste your time watching it.	0
1	We waited 5 month for this shiiiiit ohh wawoo	I can't believe how can they screw it up SOOOOO BAAAAAD it was soo good !!!!	0
1	Stupidity	It shows how stupid the police are, and tokyo is the most annoying character. It was good at first 2-3 episodes but then it gets worst.	0
3	Totally stupid plot	Total stupidity. Does this series shows that Spanish police are brainless and no capable ones are there!! Or is o only professor is the only intelligent person. Too much drama and facts are hard to digest!!	0
4	Disapoonted with season 4	Season 4 total disappointment. The whole seasom can be compleed in 2 episodes and but extended like a rubber band. Boring. Not watching season 5.	0
2	Really bad ...	The whole plot is not conclusive in itself. Seriously painful to watch for people who need atleast a little logical connections.	0
8	Wonderful TV Show	Casa de Papel is a very good TV show overall. I really enjoyed it. The plan of el profesor, the narration by Tokyo, the relationship between characters. The two first seasons was very great. The third season, at the beginning, i felt that become more a fan base but when you watched it all the season it still have some great moments: mysteries, suspense, dramatic, funny, psychological moments. I recommend this Tv show. It was a very good experience overall. The season 4 have still some great moments and the end want to see the season 5 for sure.	1
1	Bored to Tears	Can't believe everybody is watching this soap opera with guns. It seems the stupid little stories will be going forever. All I can see is some underlining neo Marxism making it appealing to the left wing uprising all over Europe.	0
1	So much love in a heist, complete rubbish	"This is so bad. A good idea, started with a lot of promise.

Why so much love and sex.

Too much style over content. I am at the last episode series one and I might not bother seeing the end.

Oh so much threat and no one ever gets killed. Is that a spoiler"	0
1	Unrealistic	Waste of time.. How can 6 people not hit a person that is 2 meters away. Gandia dodged the bullets like he is in the matrix... Harry Potter is more realistic show than this nonsense. Ty. And i regred wasting this much time...	0
1	It's meant to be for kids!	I don't know if the director has watched his series ! The idea only is great but the acting and the scenes are quite silly.	0
4	A huge mistake in the plot.	There is a huge mistake in the plot. Why didn't the robbers negotiate a deal with Gandia to surrender himself and let Tokyo go in exchange for the life of the Governor? They had the Governor in their possession all this while and didn't make use of him. That's plain stupidity. What about the genius mind of the professor and the criminal minds of the robbers? This hole in the plot is unpardonable and it made a mockery of the whole season.	0
4	Watched all 4 seasons and it's as disappointing as The Walking Dead	In the beginning it's so refreshing but from episode to episode it's just the same. Professor knows everything, no matter what's going to happen. Main characters rarely die and if they do it's a heroic death. Always the same methods to make police officers do what they want. Relationships between the characters are rarely catching and to me it's just bad acting since season 3. The motive for the second heist is just a joke. They should have ended it after two seasons. Now it's pure greed, nothing more.	0
1	Painfully Stupid	It's so hard to imagine anyone actually writing this show. It was hard to watch at all.	0
1	Dumb!	Overrated apart from some scenes with professor do you really think thieves are that dumb?	0
2	Terrible	Terrible acting. Unrealistic and underdeveloped characters. Even more unrealistic conversations between characters. The Plot, although had a great potential, was immature with illogical links and ridiculous outcomes. And out of all the characters one could criticize in this tv series lets discuss Tokyo, oh my goodness, a neurotic, mentally unstable, unrealistic character and even worse execution by the actress. Repulsive!	0
1	Last 2 seasons	Season 1 and 2 rate - 8, Season 3 and 4 rate 1. Especially season 4.nothing really happened. 80% of time they talk about past and 20% is actually action and story goes on in that time. Too bas for the series. It was promising	0
1	Complete Garbage	I have never watched a more garbage TV show in my entire life. The storyline is complete crap, it's overly dramatic and very highly overrated. I felt my blood pressure rise during each episode. Another season of this and I'll have a heart attack. I now use this show as a benchmark to better understand whether the person I'm speaking to is a complete idiot when it comes to TV shows / movies.	0
1	Went from great to awful in less than a year.	This show went from an highly well written heist, to an extremely awkward soap opera. The show did horrible in Spain until it hit Netflix. After becoming extremely popular, they hurry up and write a second heist. They are dragging one heist out with three seasons. I can't believe it went from sew good to so bad. What a disappointment	0
10	theft of heft	"One of the many great series on Netflix depicts a group of people breaking into Spain's national mint. ""La casa de papel"" (""Money Heist"" in English) is a series that you just gotta see. Rapid-fire dialogue, clever editing, and all sorts of twists and turns make this one of the best shows out there."	1
3	Disappointing	Seriously...this program have a score of 8,4 ?? Really ?? ....Money heist its a show for kids of 14 years old , with a stupid script ,with forced situations, with even more forced reactions and overacted characters ..... a dissapointing frankenstein made for teenangers and people with bad taste in shows.	0
2	First episode was good.	It started off good, but then everything gets soooooo STUPID. I should go into fortune telling with all the stuff I called out from the get go. NOT GOOD. DO NOT BELIEVE THE HYPE. Anyone who says otherwise is an IDIOT.	0
3	Netflix, are you ok?	Characters are changing faster then the light moving thorught the universe, unable to track the logic of them and all because of LOVE. That's not a heist movie, it is a romantic comedy of stupidity. I really like the heist part (1/10 of the movie) and it is incredible, but the truth is that Netflix is trying to highlight one part and forgets about the other, too much plot holes, too much drama, too much values that are not in the right place at the right moment of time.	0
1	Just sex and Full of extra marrital affairs	Just sex and Full of extra marrital affairs. Honestly i wasted my time watching the first season itself.	0
3	Don't understand the high reviews	This show is highly overrated. It does not deserve the high ratings. At first the concept seems interesting which is why I gave it a chance. But the story is unrealistic. You forget that the heist has only been taking place for 5 days with how quickly everyone falls in love and how quick gun shot wounds seem to heal.	0
3	Annoying soup opera drama!	"The first episodes are quite interesting, but then it's only background drama and a series of silly mistakes happening.

The plot turns out to be ridiculous and brainless... they plan a robbery for 6 months and they can't resist flirting for 48h.... And falling in love with each other. After 10 episodes you just with they kill everyone."	0
1	Worst plot ever	Plot is so stupid and unlikely, wasted a couple of hours I will never get back......	0
1	They are destroying everything	In first two seasons they built an amazing thought about the series and got a large audience, people loved the cartil, but when they decided to do 3 or maybe 4 extra seasons they are destroying all that and wasting all the efforts that has been done in first seasons They are losing the respect that they got at the beginning	0
1	terrorist	A Zionist terrorist series supporting the Zionist occupation. Damn this series... Long live a free Arab Palestine.	0
1	Supporting Israel is a crime	Whoever revolts against injustice will revolt against it everywhere. Supporting Israel is a crime.	0
1	Stop supporting Israeli occupation	The producers and actors supports Israel occupation. They should google for 2 minutes the killing and racism Israel is doing against the original citizens Palestinians.	0
1	"Supports occupation and apartheid ""Israel"""	"Supports occupation and apartheid ""Israel"" which is practicing all kind of terrorism against palestinians."	0
1	Free Palestine	FREE PALESTINE FREE PALESTINE FREE PALESTINE FREE PALESTINE.	0
1	#FreePalestine	#FreePalestine #IsrealTerrorist #FreeGaza #FreeSilwan.	0
1	#freePalestine	#freePalestine #freePalestine #freePalestine #freePalestine #freePalestine.	0
9	Amazing Show- watch it in Spanish.	Only just binged the first 2 seasons and loved this show. Berlin and The Professor are amazing. Ignore the bad reviews, people complaining must be the police or Arturo. Ignore the dubbed versions of the show - watch it in Spanish with subtitles. You wont regret watching this, only problem is you will binge watch it in a week like me.	1
1	overrated	Every character in this series is illogical and overrated	0
3	It gets worse and worse...	They try to make the story so great that its just absurd now. I had to stop at season 4 ep 5 to write this.. That gun fight scene... WOW. Its like a seven year old wrote the scene. Was he on a bullet bending drug to escape that??? People give this too much credit probably for the intensity a heist creates, eventhough the movie has pointless twists all over.	0
1	Worst TV series ever	A waste of time. Not worth watching at all. The story is boring.	0
1	The worst series I ever seen	If I'd like to watch Escrava Isaura - I would. Sorry, but the plot is so sh***y, I really don't get the hype around this series. What irritates me the most: the creators try to show in a serious maner a story for elementary school children. Never again	0
4	Disappointment	I used to love this series, but now i'm annoyed. Season 1 was great and kinda logical, season 2 was OK then it went really bad and illogical. Spent 8 hours watching season 4 and ended with BIG DISAPPOINTMENT and was total waste of time just to see how it's gonna end. Not gonna watch season 5 and will certainly delete the whole series from my top list.👎🏻	0
3	Started well, got ridiculous as the series progressed!	"Loved watching first few episodes, and then! Such a unreal storyline.
People fall madly in love in 5 days.. willing to go to any lengths for love, including a police officer.
Civilians can fire guns like pros ( Monica)
The police can never hit a target but the robbers are pros
The list goes on and on. Gripping but completely ridiculous, unbelievable story line . Leave your logic in a corner, then you will enjoy it"	0
10	10/10	For Berlin..The amount of nostalgia his scenes gave to me..I didn't care avout the heist...his performance astonished me even his death was astonishing...well played	1
1	SPANISH SOAP	This is comedy, romantic and trash. Only season one is good!	0
1	Season 4 is stretched, stupid and nonesence.	Season 1 and 2 are good. Season 4 is really really very stupid. And waste of time.	0
1	Waste of time , with too much cliche and plot holes	How the hell did this series get a rating of more than 8? Illogical story with so many plot holes and stupid characters to go along with. None of the characters are likable. One of the dumbest series ever. Stopped watching after 6 episodes as my head was exploding with all the nonsense being told.	0
1	Please stop...	This series should be ended in seasson 2.. please stop	0
4	Why?	Why the high rates! This serie gets dummer and dummer.... Not worth my time..!	0
2	Not good acting	"I never will understand why in every singel scene they give like all of their ""characteristics"", it's just too much."	0
1	PALESTINE for EVER	The crew are zionists!!!!! Fu/ck your cheap show. Free Palestine! 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸	0
10	The best series in the world	"Money heist, isn't a series ; It's an emotion. It is the first spanish web series that i have seen. Omg, what a wonderful series.

All character have been acted wonderfully.

Specially Professor, Barlin, Nairobi, Ric.

Love this Series ; this is the series that can watch again and again. I never feel boring watching this...."	1
8	An unusual series ! MUST SEE	"La casa de papel is a series with everything! It has plot twists ,a lot of action ,stress ,full emotions and above all passes good messages.

The only thing that keeps me from rating it with 9 is that it contains a lot of inappropriate scenes and that netflix has put some characters who could have been somehow better ..like Manila..

i totally reccomend it to all of you !!!"	1
1	Dumbest tv show of all time	Genuinely haven't a clue how this mess of a show became this popular.	0
1	Such a overacted title with a disappointing story	This series is total garbage, it should end by four episodes but no they decided to make money not by heist but by producing its four seasons and that's the heist yeah Characters are so dumb and stupid, and not to forget how it got stretched, horrible decision to watch it I need to donate my eyes now	0
2	Stop!	A good idea Is becoming a sequence of foolishness and repetitions. Basically a repetitive soap opera with guns.	0
1	Totally a waste of time and overhyped!	Don't bother watch this soap opera kind of heist, don't waste your time, it's not worth it, it's too unrealistic, no plot at all, terrible writers with exceptional cast, this used to be a good show couple of years go, now it turned out to be a meh and continue going downhill, stop the hype and please don't continue the season anymore. It should be the end totally.	0
1	I'm done	"Watching series 3 and 4 of this show made me cancel my Netflix subscription. They completely ruined what small positives there were. Find this is happening with more and more shows.

We were laughing at the insanely huge plot holes and the un-killable Gandia.

Netflix are the true professors of the world, robbing everyone or their time and money."	0
1	Ridiculously illogical	"What a shame, when building a character so-called ""Professor"" as a brain but the plan consists of many, many, many risks and illogical things.

Don't bother to list out here, took me to go thru 2 episodes to decide that I would never proceed to the 3rd one.

Don't waste your time, if you're older than 15."	0
2	I don't get it.	After season 1 I won't be watching any more. I felt that it had the weakest storylines intertwined with poor story telling, patronising product placement (mainly of Spanish beer), and mundane sets & outfits. Not to mention the endless pointless non-functioning character development make this a huge miss for me - it was just uncomfortable to watch, but if you like Spanish soap operas it might be for you.	0
1	Bloody bad	Total waste of your time season 3 n 4 never watch them...zero for these two seasons	0
1	Far fetched and bad acting	"Far-fetched, predictable, unrealistic, and really shabby acting.

The robbers are now going against each other, there's been at least 2 love stories all in the first 24 hours of a heist..

The fact that the robbers are now against each other and are lying to each other and going behind each others backs and trying to save the hostages is just so unrealistic and dramatic.

Now it's robbers vs robbers vs police vs love life drama #1 vs love life drama #2 vs hostages. Get in the bin."	0
1	Absolutely terrible	Do yourself a favor and don't even start this series. I pushed through season 1 and regret doing that cause I felt committed and had to see it through. What a disappointment and 17 hours of my life I'll never get back. The plot is poor, the storyline is predictable and the acting. Oh my the acting, just terrible. I actually was forwarding through episodes in the last season cause I knew by then what was filler and what was, and I use this term loosely, important. Just don't do it. You've been warned.	0
1	Bad for human and society!!!!	Watching this show (Money Heist) may encourage peoples/humans to do bad things more, like stealing money, etc. I hate to admit the show is good like 4/10 but bad for us.	0
1	Classic soap opera	Characters are so unbelievably dumb. Just don't watch it.	0
1	NOT WORTH WATCHING	This is probably the worst series I ever watched on Netflix. How is this so highly rated and popular is beyond my grasp. There is no logic, and the acting my most of the actors is terrible (esp Tokyo..couldn't even watch her scenes without skipping) And the lead inspector is the worst written character ever. Such a joke!	0
1	They support Isreal 👎	They support Isreal, boycott the series. Free free Palestine, viva viva Palestine.	0
1	free palestine free free palestine	"Free free palestine.

Free Palestine.

Free free palestine.

Free free palestine. Free free palestine.

Free Palestine

Free Palestine Free Palestine."	0
1	The worse in 2021, free Palestine	First and second parts were great. 3rd was ok, 4th worse. 5th won a 1 star from me. The forth and backs of the characters made it a very bad series.	0
1	Trash	Nothing more that a stupidity-meter device to measure the low level intelligence of population. And it works. 8.7/10!! Is this for real? Sic trasit gloria mundi.	0
1	The series for dummies	What is this??? This series has absolutely 0 credibility. The script must have been written by a bunch of 10 years old teens (they will forgive me), full of non-sense and totally incoherent. Characters are as convincing as dummies, with no past, no depth, no real personality. It looks like they were just taken out of a manga or borrowed from a cartoon, for the sake of their supposed coolness. This is a cardboard series. If you like being a fool and be treated as one, just watch and enjoy.	0
10	Awesome ever	Finished all the part 3 episodes in a single day..Now waiting for part 4 finale...	1
1	Plot holes, terrible writing, ridiculous characters. Absolutely overrated	This does not even deserve 1 star, should be 0 stars. It´s sooo bad. 20 hours I'll never get back. Ridiculous plot. The writing is terrible. How on earth did it get such a score? What a joke... Don't waste your time on this drivel. Now I understand why in Spain this show was a failure.	0
10	Plz watch only part 1 & 2	Don't watch after two parts otherwise you will be regret. They ruined everything in part 3&4.	1
2	Boring and ridiculous fairy tale movie ...	Boring, fairy tale film, nothing to do with reality, ridiculous.	0
1	Over-hyped, skip it	"I don't understand the hype around this!

actors are average, story is nothing special, visual effects or anything that can make you sit back and wait for the next episode are missing.

this was the first TV show that doesn't make me wanna see what happens next, even after dragging myself through the entire season 1.

I think I only watched it so far because I really wanted to understand the hype."	0
2	So predictable	The plot has very primitive line. First robbers have some advantage, after that police makes move and this cycle continues on and on. Moreover, all characters are invincible, they can get hurt but still continue to live. Please, don't waste your time on this.	0
1	Palestine 🇵🇸	Palestine 🇵🇸 #no_for_apartheid #no_for_cleansing #anti_zionism .	0
1	🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸	🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸	0
1	#freePalestine	#freePalestine #freePalestine #freePalestine #freePalestine.	0
9	Epic	"An epic series with intelligent script and intriguing characters. Amazing action keeps you focus in every single episode. This series have it all. Love ,hatred, action, suspense ,touchy and funny moments. A different action series with great interpretations from all the characters, many symbolisms about capitalism and socialism, ""bad"" and ""good"" people, awesome soundtrack and of course very intelligent scenario.

The negative for me is Netflix touch who launch LGBTQ messages in every single series even if it doesn't suit to the script."	1
9	Very good I watched the first 2 seasons, it's just perfect	It was a very nice series, I watched season 2, I just recommend it perfectly.	1
10	THE JOIN BEST SHOW OUT THERE WITH PRISON BREAK	I loved this show right from the first second with action from from the offset. All the seasons are intense and cliffhangers are at the end of every episode making you stay up all night just wanting to know more. I've watched it twice in English and once in Spanish and it was brilliant every time. Just waiting for part 5 now. The professor couldn't of been cast better, he is one of the best actors for his part and I love watching his insanely smart plans work out against the police and the army. ITS SOOOOOO AWESOME.	1
1	PARTS 3/4 AS BAD AS PARTS 1/2 WERE GOOD	"The first series was intelligent, fun and full of surprises. The second series was as if a bunch of students were given a project to redo the entire series, got drunk or high, and produced this swill.

So much talking and terrible acting trying to evoke emotions but given the absolutely ridiculous plot and even worse dialogue. Fail!!!

Just awful!!"	0
10	What an Epic Show It is	Probably the best show ever made Eagerly waiting for the season 4	1
9	Season 4 is boring	The first 2 seasons were fantastic, I can give 8 out of 10 you can even watch the 3rd , I can give 7 out of 10 But the 4th season is not gripping , not a good plot and dragged a lot . So I'm giving 4 out if 10. They should end this series in season 5.	1
1	Bad from the start till the end.	How on earth did it get such a score? What a joke...	0
1	Bc ur supporting Israel !!	Free Palestine 🇵🇸 Free Palestine Free Palestine Free Palestine Free Palestine Free Palestine.	0
1	Over rated	"Over Rated, too much seasons for nothing!

Free Palestine."	0
1	Free Palestine 🇵🇸	Free Palestine 🇵🇸 Palestine it always free , Israel is an occupation which kills every day kids.	0
1	🇵🇸	"Free Palestine 🇵🇸

Free Palestine 🇵🇸

Free Palestine 🇵🇸

Free Palestine 🇵🇸

Free Palestine 🇵🇸

Free Palestine 🇵🇸"	0
1	Free Palestine	Free Palestine. Free Palestine. Free Palestine. Free Palestine.	0
1	Free Palestine🇵🇸	We don't accept your stance regarding Israel, crime supporters.	0
1	Boycott la casa de papel	Stopped watching because of the low life terrorist actors in it. Disgust & Shame. #ApartheidIsrael.	0
1	Some of the stars have appeared on an Israel TV	"Support palestain.

We don't accept your stance regarding Israel."	0
1	Support israel 👎🏻	"Supporting israel is crime.

CRIME CRIME CRIME CRIME."	0
